source_row_number,legajo_canonico,row_kind,raw_ubicacion,raw_concesion,raw_manzana,raw_parcela,source_component_profile,source_component_count,source_ncp_derived,source_ncp_derivation_status,match_method,match_count,confidence,reason,parcela_id,ncp,ncp_formatted,ncp_format_status,sec,gru,nmanz,nparc,lon,lat,auto_lon,auto_lat,geolocation_source,admin_override_reason,admin_override_updated_at,postal_address_available,cadastral_reference_available,dual_verification_ready,address_query,address_geocode_status,address_match_name,address_lon,address_lat,address_vs_auto_cadastral_distance_m,address_vs_cadastral_distance_m,auto_location_verification_status,location_verification_status
55,49,detail,Juana Uzurduy s/Nº,331,2,16,gru+manz+parc,3,0100010063310002--016--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,36559,0100010063310002--016--,0100010063310002--016--,matches_source_ncp,6,331,2,16,-58.16901845,-32.21004753,-58.16901845,-32.21004753,automatic,,,yes,yes,no,"Juana Uzurduy º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
56,50,detail,"Larpida Nº 51, esq Avda Urquiza",,170,1,manz+parc,2,0100010000000170--001--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,29575,0100010000000170--001--,0100010000000170--001--,matches_source_ncp,0,0,170,1,-58.13658158,-32.22114195,-58.13658158,-32.22114195,automatic,,,yes,yes,no,"Larpida 51, esq Avenida Urquiza, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
57,51,detail,Las Perdices s/Nº,223,8,13,gru+manz+parc,3,0100010162230008--013--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,37121,0100010162230008--013--,0100010162230008--013--,matches_source_ncp,16,223,8,13,-58.18112989,-32.25711663,-58.18112989,-32.25711663,automatic,,,yes,yes,no,"Las Perdices º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
58,52,detail,12 de Abril Nº 450,,115,9,manz+parc,2,0100010000000115--009--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,28668,0100010000000115--009--,0100010000000115--009--,matches_source_ncp,0,0,115,9,-58.14113336,-32.22352846,-58.14113336,-32.22352846,automatic,,,yes,yes,yes,"12 de Abril 450, Colón",matched_ign,"12 DE ABRIL 450, Colón, Entre Ríos",-58.14136222,-32.22350856,21.64,21.64,verified_close,verified_close
59,53,detail,3 DE Febrero Nº 122,,183,26,manz+parc,2,0100010000000183--026--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,34480,0100010000000183--026--,0100010000000183--026--,matches_source_ncp,0,0,183,26,-58.13817865,-32.21823049,-58.13817865,-32.21823049,automatic,,,yes,yes,yes,"3 DE Febrero 122, Colón",matched_ign,"3 DE FEBRERO 122, Colón, Entre Ríos",-58.13801844,-32.21807238,23.16,23.16,verified_close,verified_close
60,53,detail_continuation,3 DE Febrero Nº 122,,183,3,manz+parc,2,0100010000000183--003--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,30673,0100010000000183--003--,0100010000000183--003--,matches_source_ncp,0,0,183,3,-58.13823716,-32.21817168,-58.13823716,-32.21817168,automatic,,,yes,yes,yes,"3 DE Febrero 122, Colón",matched_ign,"3 DE FEBRERO 122, Colón, Entre Ríos",-58.13801844,-32.21807238,23.35,23.35,verified_close,verified_close
61,54,detail,Mitre Nº 228,,165,16,manz+parc,2,0100010000000165--016--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,28237,0100010000000165--016--,0100010000000165--016--,matches_source_ncp,0,0,165,16,-58.13359197,-32.22480502,-58.13359197,-32.22480502,automatic,,,yes,yes,yes,"Mitre 228, Colón",matched_ign,"GRL MITRE 228, Colón, Entre Ríos",-58.13371039,-32.22469969,16.16,16.16,verified_close,verified_close
62,55,detail,Calle ·Echague s/Nº - Colonia Hughes,,6,3,manz+parc,2,,ambiguous_source_components,manz_parc,14,low,ambiguous_match_by_manz_parc,26883,0100010000000006--003--,0100010000000006--003--,matches_source_ncp,0,0,6,3,-58.14638422,-32.22866947,-58.14638422,-32.22866947,automatic,,,yes,yes,no,"Calle Echague º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
63,56,detail,Noailles Nº,,215,9,manz+parc,2,0100010000000215--009--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,29821,0100010000000215--009--,0100010000000215--009--,matches_source_ncp,0,0,215,9,-58.13348859,-32.22050800,-58.13348859,-32.22050800,automatic,,,yes,yes,no,"Noailles, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
64,57,detail,Avda. Urquiza Nº 212,,170,13,manz+parc,2,0100010000000170--013--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,29563,0100010000000170--013--,0100010000000170--013--,matches_source_ncp,0,0,170,13,-58.13667503,-32.22120361,-58.13667503,-32.22120361,automatic,,,yes,yes,yes,"Urquiza 212, Colón",matched_ign,"GRL URQUIZA 212, Colón, Entre Ríos",-58.13679362,-32.22108853,16.98,16.98,verified_close,verified_close
