prioridad,tipo,source_row_number,legajo_canonico,expediente_raw,ubicacion,detalle,subtipo
critica,geolocalizacion,125,121,"mail,  553869",Calle Primeros Colonos s/N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,127,122,"mail, 554883","Ruta Nac N° 135, km",no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,128,124,546736,"Gral Paz Nº 162, 164",no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,136,132,"mail, 555346",Florentina Gomez Miranda N° 120,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,142,138,"mail, 555470",Calle provada s/N° - Los Bretes,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,143,140,"mail, 555612",Urbana 2,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,148,143,555715,Durand N° 457 es Pasaje s/nombre,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,152,148,556062,Calle Privada s/N° - Los Bretes,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,160,156,"mail, 557242",Salsipuedes s/N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,161,157,"mail, 557277",Florentina Gomez Miranda N° 117,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,166,162,554798,Calle Paraiso ( Loteo Aires de 1872),no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,178,173,555879,General Paz N° 136,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,181,176,"MAIL, 558956",María Isabel Fernandez s/N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,190,183,"MAIL, 557642",Paso de los Andes Nº,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,198,189,"mail, 557003",Castelli N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,202,191,,,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,4,2,547704,Sarmiento Nº 88,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,5,3,549038,"Maipú Nª 525, 529 (antes 535)",no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,7,5,549912,9 de Julio N° 68,unique_match_by_gru_parc,distancia_para_revision
alta,geolocalizacion,11,8,549056,San Martín N° 567 - 571,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,13,10,548969,Laprida N° 227,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,14,11,548366,Gouchón N° 253 esq Sarmiento,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,16,13,548986,"Vieytes Nº 41 esq Gra Urquiza Nº 653, 657, 659",no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,17,14,538380,Laprida N° 122,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,19,16,"MAIL, 549504",Peyret N° 210,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,21,18,"mail, 549763",Maipú N° 470,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,24,21,549964,Rocamora N° 416,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,25,22,"mail, 550057",Gouchon N° 418,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,30,27,"mail, 550170",Hernandez N° 282,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,31,28,"mail, 550474",Bvard. Ferrari N° 1190,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,35,31,,"Lavalle N° 122, 122",ambiguous_match_by_gru_parc,match_no_unico|baja_confianza|distancia_para_revision
alta,geolocalizacion,36,32,550510,Noailles N° 239 esq L. N. Alema,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
