source_row_number,legajo_canonico,raw_ubicacion,tipo_problema,subtipo,detalle,severity,match_method,confidence,reason
60,56,Ñandubay N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
61,57,Alberdi esq Sourigues N° 244 y 246,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
63,59,Las Piedras N° 12,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
65,61,San Martín N° 220,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
66,62,Bvard Ferrari N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
67,63,Bolívar N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
68,64,Alejo Peyret N° 140,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
70,66,Jacarandaes esq Coronillos ( Los Bretes),geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
71,67,Avda Quiròs Nº 280 esq Mitre,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
73,69,Sourigues N° 610 e/ C de Malvinas y Cepeda,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
74,70,Pasaje Alarcón N° 521,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
75,71,12 de Abril N° 741,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
76,72,Balcarce N° 66,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
78,74,Alfredo Bravo s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
79,76,Salsipuedes N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
80,75,Calle Privada s/N° (Los Bretes),geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
81,77,"Esteva Berga N° 152, esq Noailles",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
82,78,Gómez Miranda N° 148 esq Noailles,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
83,79,Calle Artalaz s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
86,83,Bolívar N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
88,84,12 de Abril N° 850,geolocalizacion,match_ambiguo,ambiguous_match_by_manz_parc,warning,manz_parc,low,ambiguous_match_by_manz_parc
89,88,Noailles N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
91,85,Calle Privada Jacarandaes s/N° ( Los Bretes),geolocalizacion,match_ambiguo,ambiguous_match_by_manz_parc,warning,manz_parc,low,ambiguous_match_by_manz_parc
92,86,San Martín N° 625,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
93,89,Laprida N.º 521,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
94,90,Combatientes de Malvinas N° 188,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
95,91,Urbana 2,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
97,93,Viollaz N° 232,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
99,95,Calle Pública s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
101,97,Cabo Pereyra N° 645,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
102,98,25 de Mayo N° 450,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
103,99,Araujo Penón N° 413,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
105,104,"12 de Abril N°  esq. Lavalle N° 2, 8, 10, 12, 14, 16, 18",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
106,105,Cabo Pereyra N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
107,102,Paje Villalba N° 672,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
108,103,Los Charrúas s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
110,106,Bvard Ferrari s/Nº 960,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
111,108,Bolívar Nº 237,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
113,109,12 de Abril N° 686,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
114,110,Camino Horne s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
115,111,Sarmiento N°  366,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
116,112,Bvard. Ferrari N.º 1389,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
117,113,Artigas N° 173,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
118,114,Reibel N° 248,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
119,115,Bolívar N° 790,geolocalizacion,match_ambiguo,ambiguous_match_by_gru_parc,warning,gru_parc,low,ambiguous_match_by_gru_parc
121,116,Calle Pública s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
122,119,Lavalle N° 486,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
123,118,Balcarce N° 174,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
124,120,Avda Urquiza N° 1174 y 1180,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
125,121,Calle Primeros Colonos s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
126,123,Lima N° 191 esq Lavalle N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
127,122,"Ruta Nac N° 135, km",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
128,124,"Gral Paz Nº 162, 164",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
130,125,"12 de Abril Nº 848, 840, al 846",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
132,127,Balcarce N° 482 - 486,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
134,130,San Martín N° 859 - 861,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
135,131,3 de Febrero N° 70,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
136,132,Florentina Gomez Miranda N° 120,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
137,133,Las Piedras N°  336,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
138,137,San Martín N° 472,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
139,134,Avda Paysandú esq 3 de Febrero N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
141,136,Monteagudo N° 114,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
142,138,Calle provada s/N° - Los Bretes,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
143,140,Urbana 2,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
145,141,Hernández N° 363,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
146,142,M. M. Lima N° 226,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
147,144,Combatientes de Malvinas N°  182 (ANTES 178),geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
148,143,Durand N° 457 es Pasaje s/nombre,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
149,145,"Avda Urquiza N° 662, 664",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
150,147,Avda Urquiza N° 313,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
152,148,Calle Privada s/N° - Los Bretes,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
153,149,Mitre s/Nº 325,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
155,151,"San Martín N° 1212, 1220",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
156,152,Bolívar esq Sourigues N° 443,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
157,153,M. Moreno N° 164,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
158,154,"Reibel N° 223, 225",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
159,155,Las Piedras N° 341,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
160,156,Salsipuedes s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
161,157,Florentina Gomez Miranda N° 117,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
164,160,Avda. Paysandú N° 1156,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
