source_row_number,legajo_canonico,row_kind,raw_ubicacion,raw_concesion,raw_manzana,raw_parcela,source_component_profile,source_component_count,source_ncp_derived,source_ncp_derivation_status,match_method,match_count,confidence,reason,parcela_id,ncp,ncp_formatted,ncp_format_status,sec,gru,nmanz,nparc,lon,lat,auto_lon,auto_lat,geolocation_source,admin_override_reason,admin_override_updated_at,postal_address_available,cadastral_reference_available,dual_verification_ready,address_query,address_geocode_status,address_match_name,address_lon,address_lat,address_vs_auto_cadastral_distance_m,address_vs_cadastral_distance_m,auto_location_verification_status,location_verification_status
147,146,detail,Chacabuco N° 425,,120,9,manz+parc,2,0100010000000120--009--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,29973,0100010000000120--009--,0100010000000120--009--,matches_source_ncp,0,0,120,9,-58.14396307,-32.22021339,-58.14396307,-32.22021339,automatic,,,yes,yes,yes,"Chacabuco 425, Colón",matched_ign,"CHACABUCO 425, Colón, Entre Ríos",-58.14377373,-32.22031634,21.17,21.17,verified_close,verified_close
148,145,detail,M. Reibel N° 715,,32,8,manz+parc,2,0100010000000032--008--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,26884,0100010000000032--008--,0100010000000032--008--,matches_source_ncp,0,0,32,8,-58.14290941,-32.22863520,-58.14290941,-32.22863520,automatic,,,yes,yes,yes,"Reibel 715, Colón",matched_ign,"MARTIN REIBEL 715, Colón, Entre Ríos",-58.14287083,-32.22885891,25.14,25.14,verified_close,verified_close
149,147,detail,Bvard Ferrari N° 757 esq. Leguizamón,,28,5,manz+parc,2,,ambiguous_source_components,manz_parc,2,low,ambiguous_match_by_manz_parc,25898,0100010000000028--005--,0100010000000028--005--,matches_source_ncp,0,0,28,5,-58.14168694,-32.23134712,-58.14168694,-32.23134712,automatic,,,yes,yes,no,"Boulevard Ferrari 757, Colón",matched_ign,"BV FERRARI 757, Colón, Entre Ríos",-58.14146381,-32.23147835,25.56,25.56,verified_close,verified_close
150,148,detail,Leguizamón N° 119,,24,4,manz+parc,2,0100010000000024--004--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,27070,0100010000000024--004--,0100010000000024--004--,matches_source_ncp,0,0,24,4,-58.14486520,-32.22834178,-58.14486520,-32.22834178,automatic,,,yes,yes,yes,"Leguizamón 119, Colón",matched_ign,"MARTINIANO LEGUIZAMON 119, Colón, Entre Ríos",-58.14466160,-32.22813089,30.28,30.28,verified_close,verified_close
151,149,detail,"Balcarce N° 331, 332",,151,13,manz+parc,2,0100010000000151--013--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,31048,0100010000000151--013--,0100010000000151--013--,matches_source_ncp,0,0,151,13,-58.14332285,-32.21675350,-58.14332285,-32.21675350,automatic,,,yes,yes,yes,"Balcarce 331, Colón",matched_ign,"BALCARCE 331, Colón, Entre Ríos",-58.14351435,-32.21693498,27.05,27.05,verified_close,verified_close
152,151,detail,Balcarce Nº 34,,144,2,manz+parc,2,0100010000000144--002--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,29537,0100010000000144--002--,0100010000000144--002--,matches_source_ncp,0,0,144,2,-58.13946245,-32.22132892,-58.13946245,-32.22132892,automatic,,,yes,yes,yes,"Balcarce 34, Colón",matched_ign,"BALCARCE 34, Colón, Entre Ríos",-58.13924071,-32.22119634,25.54,25.54,verified_close,verified_close
153,144,detail,"Ruta Nac. N° 130, km ..",354,,8,gru+parc,2,,ambiguous_source_components,gru_parc,3,low,ambiguous_match_by_gru_parc,31895,0100010063540000--008--,0100010063540000--008--,matches_source_ncp,6,354,0,8,-58.15753467,-32.21051904,-58.15753467,-32.21051904,automatic,,,yes,yes,no,"Ruta Nac. 130, km ., Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
154,156,detail,Calle Privada Ibirapitá s/Nº - Los Bretes,3,1,22,gru+manz+parc,3,0100010170030001--022--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,34566,0100010170030001--022--,0100010170030001--022--,matches_source_ncp,17,3,1,22,-58.13339575,-32.24281054,-58.13339575,-32.24281054,automatic,,,yes,yes,no,"Calle Privada Ibirapitá º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
155,158,detail,"Alberdi N.º 102, 112 esq. Belgrano",,204,1,manz+parc,2,0100010000000204--001--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,31250,0100010000000204--001--,0100010000000204--001--,matches_source_ncp,0,0,204,1,-58.13904273,-32.21587270,-58.13904273,-32.21587270,automatic,,,yes,yes,yes,"Alberdi 102, Colón",matched_ign,"ALBERDI 102, Colón, Entre Ríos",-58.13902124,-32.21564255,25.67,25.67,verified_close,verified_close
156,164,detail,"Sarmiento 539, 541",,754,16,manz+parc,2,0100010000000754--016--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,31633,0100010000000754--016--,0100010000000754--016--,matches_source_ncp,0,0,754,16,-58.14554522,-32.21307824,-58.14554522,-32.21307824,automatic,,,yes,yes,yes,"Sarmiento 539, Colón",matched_ign,"SARMIENTO 539, Colón, Entre Ríos",-58.14576255,-32.21318771,23.80,23.80,verified_close,verified_close
157,159,detail,Calle Pública s/Nº,327,5,1,gru+manz+parc,3,0100010123270005--001--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,33748,0100010123270005--001--,0100010123270005--001--,matches_source_ncp,12,327,5,1,-58.16326041,-32.23081805,-58.16326041,-32.23081805,automatic,,,yes,yes,no,"Calle Pública º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
